feature	Actinobacteria	Bacteroidetes	Cyanobacteria	Euryarchaeota	Firmicutes	Fusobacteria	Proteobacteria	Synergistetes	Tenericutes	Verrucomicrobia
LLM.2016.11.09	-11.6917435191713	-1.43357010878108	-9.36981542428391	NA	-1.25399144684767	-7.99130380103018	-4.25156645761392	NA	-11.6917435191713	-2.71828530662377
LLM.2016.11.10	-11.6947931549999	-0.990889581555287	-7.42177466059353	NA	-1.16049027254532	-11.2797556557211	-4.82442843541655	NA	-11.6947931549999	-7.08993109684109
LLM.2016.11.13	-10.6914527411715	-1.53410580580868	-7.784562145563	NA	-0.782309693831625	-8.57597552375159	-4.63255905211795	NA	-7.85015048719058	-5.58292828439335
LLM.2016.11.20	-9.10124618969746	-2.62191501362246	-8.81173957250247	NA	-0.439072345100639	NA	-5.48326863174834	-9.94924309625241	-6.89613175979285	-3.96283216100037
LLM.2016.11.27	-8.45121111183233	-1.92820931693199	-6.54432051622381	NA	-0.670788517561723	-10.0886410324476	-5.10374792483783	-11.2585660338899	-6.50367853172646	-4.20871748443937
LLM.2016.12.01	-8.55856788950352	-2.43962681678001	-6.4645917412945	NA	-0.675454677178124	NA	-2.68725496414106	-12.2590076076446	-6.0890826062023	-7.53108715308141
LLM.2016.12.03	-12.2858356558614	-1.53512866963647	NA	NA	-4.56132180274147	NA	-0.707934818974449	NA	NA	-12.2858356558614
LLM.2016.12.04	NA	-3.20313896005679	NA	NA	-3.12030681164929	-11.698993986944	-0.366957438582307	NA	-11.2839564876651	-11.698993986944
LLM.2016.12.11	-12.2697111211428	-1.25290283345623	-12.2697111211428	NA	-0.826249508915388	-12.2697111211428	-6.05054260068062	-12.2697111211428	NA	-10.9477830262554
LLM.2016.12.17	NA	-2.53853964255936	-9.66696365677523	NA	-0.334554078019548	-10.929998062609	-5.86822186502234	-10.929998062609	-6.48374183271946	-7.85960873471763
LLM.2016.12.25	-12.2536997813742	-1.70535949369803	-5.51899016114834	NA	-0.71939689891955	NA	-4.60624135491926	-7.32296244381129	-12.2536997813742	-5.92278290325956
LLM.2017.01.01	-8.46060216234524	-1.41659843536933	-6.21267464890165	NA	-0.800096843694961	NA	-5.37313932109489	-9.1804942431525	-8.62410089462811	-7.29067716090292
LLM.2017.01.08	-10.9344280406268	-2.04629365227393	-7.86403871273541	-12.2563561355142	-0.448598731924899	NA	-6.38599141593076	NA	-8.08643113407185	-7.79692451687687
LLM.2017.01.15	-8.54555856233161	-2.47698695937569	-8.15853543922237	-11.2459982804727	-0.380265009620948	NA	-4.87531087366549	-6.87095884912578	-11.2459982804727	-8.66103577975155
LLM.2017.01.22	-8.67360353316878	-1.87864621624339	-8.50367853172646	NA	-0.56246786293407	NA	-4.75077139369124	-8.50367853172646	-9.01063852044635	-8.01063852044635
LLM.2017.01.31	-8.61618123133188	-1.89590276609855	-8.8006058024693	NA	-0.573755765962168	NA	-4.64901262379925	-8.73647546504959	-8.86771999832784	-6.60182593835481
LLM.2017.02.11	-9.80354408259065	-1.53718342973379	-8.73941374517093	NA	-0.851199925651416	NA	-3.70073327700687	-8.67801320050679	-8.26297570122794	-6.05352233559899
LLM.2017.02.26	-10.4709493300794	-4.23118034002301	-11.278304252137	NA	-1.08909741754001	NA	-1.11339732546134	-10.9563761572497	-7.55038379757383	-7.04948556164115
LLM.2017.03.13	-9.26385601959608	-2.9052048187032	-8.61999982982136	NA	-0.43472792422754	NA	-3.43254877579403	-10.0939310181538	-7.38121297023424	-5.44367705718089
LLM.2017.04.16	-10.9515761390748	-1.28233672782215	-8.8811868111834	NA	-0.966588120439619	NA	-4.99737982868792	NA	-9.46614931190456	-4.58001727646284
LLM.2017.04.30	-10.4664406771567	-1.71920674753663	-6.09388650919933	NA	-0.777441110649649	NA	-4.64080040207131	-13.2737955992143	-7.98839338035202	-4.22667168710024
LLM.2017.05.14	-11.2719006723915	-1.89577528311537	-7.68693817167039	NA	-0.672685177373825	NA	-4.66457035864193	-9.36501007678302	-8.31770436200467	-4.19508507534071
LLM.2017.05.28	-11.2764152418927	-1.71369581484336	-9.02848772844909	NA	-0.727111873379104	NA	-5.54849478732948	-12.2764152418927	-13.2764152418927	-3.89920471150413
LLM.2017.06.25	-10.1076530009734	-2.21958627965656	-7.99217578355349	NA	-0.851575389086375	NA	-5.0014535971415	-9.1901151611654	-9.1901151611654	-2.38351815614171
LLM.2017.07.17	-10.6915981374973	-1.50672279458897	-7.91900863360033	NA	-0.806664489547496	NA	-4.09914110022918	-12.2765606382184	-9.18909779696807	-6.45638167580323
LLM.2017.08.13	-11.2774327085901	-1.75632306493872	-7.16890825181189	NA	-0.647848408396205	NA	-4.71901199532139	-12.2774327085901	-9.95550461370269	-5.70000388055431
LLM.2017.09.16	-10.9562309365499	-2.10886033564439	-7.1906961901869	NA	-0.572310687928292	NA	-4.68944439585497	-10.4708041093796	-8.23376491207878	-4.45798006902205
LLM.2017.10.15	-10.6867923049253	-1.62744784410089	-7.22736068628802	NA	-0.8789007657736	NA	-5.21105887395892	-12.2717548056465	-8.81232318700918	-3.38301155674821
LLM.2017.10.25	-11.2768513869177	-2.21953650913498	-6.45667242450249	NA	-0.655944291032345	NA	-3.63841547292721	-8.75328943086067	-9.10692638547537	-4.20003578986685
LLM.2017.11.09	-9.94676009734083	-0.91031171189995	-7.65397834811298	NA	-1.34945240619984	NA	-5.66877535004106	-9.5682484740871	-9.46133327017059	-4.4076012862328
LLM.2017.12.03	-11.6902890427492	-1.88992836729446	-6.75168958741331	NA	-0.716352562323625	NA	-4.06579817784138	-13.2752515434703	-10.6902890427492	-4.27807206253271
LLM.2017.12.10	-12.2759789649756	-2.30515406361301	-7.39333591561378	NA	-0.728602401477522	NA	-3.04475778426444	-9.57553924683453	-9.02805145153204	-3.97448276999307
LLM.2017.12.31	-10.6911619045531	-2.70058515843971	-10.2761244052742	NA	-0.354469394489185	NA	-4.69869557723849	NA	-9.02819689183065	-5.49476469174958
LLM.2018.01.14	-12.2716089241517	-2.04399298073752	-6.96782817597464	NA	-0.719420164594595	NA	-3.10293680601951	-9.02368141070816	-7.77975582782207	-5.70936649993067
LLM.2018.01.24	-12.2743781532464	-1.8687048209645	-9.46702323118876	NA	-0.646160473022929	NA	-4.40093404073099	-11.2743781532464	-8.46702323118876	-4.8355863006681
LLM.2018.02.12	NA	-2.16036205865496	-9.46935109783483	NA	-0.978357004234245	NA	-2.19922266303292	-12.2767060198924	-8.95477792500507	-4.40018907332743
LLM.2018.02.25	-9.56795607541547	-2.45221211212422	-8.56795607541547	NA	-0.799008352592212	NA	-3.06382464930735	-9.46104087149895	-7.91084378893847	-3.14040147258016
LLM.2018.03.10	-10.951284714967	-3.20175044729771	-9.57277309171324	NA	-0.730180989599096	NA	-2.00350168871155	-11.6882503091332	-11.2732128098543	-4.77336692277113
LLM.2018.03.26	-9.68240943054412	-2.13294561104435	-9.68240943054412	NA	-0.464249858329868	-12.2673719312653	-5.68994310322952	-9.09744692982296	-9.36048133565676	-5.51917908167581
LLM.2018.04.08	-9.94982671075911	-3.27316437590114	-9.81232318700918	NA	-0.709035378597154	NA	-2.02382729220289	NA	-7.49039509212181	-5.0002917777421
LLM.2018.04.20	-10.6926155016946	-1.39569929481529	-7.81814638377844	NA	-0.794266047416383	NA	-5.62652631123681	-12.2775780024157	-9.69261550169458	-5.91125578816992
LLM.2018.05.13	-10.9552139821463	-1.5840907816367	-9.18967923578336	NA	-0.746979623806544	NA	-5.38232431372575	-12.2771420770337	-9.5767023588926	-4.54243245680786
LLM.2018.05.27	-10.2761244052742	-1.77229866727849	-6.86673346913654	NA	-0.978061837555221	-11.6911619045531	-2.68647325875945	-9.81669278663694	-11.6911619045531	-4.914180631539
LLM.2018.06.10	-10.9556499075284	-1.82276465390321	-9.37068740680722	NA	-0.849741398957216	-12.2775780024157	-2.88740904621555	-12.2775780024157	-9.1901151611654	-5.43208795147136
LLM.2018.06.24	-11.695663296788	-1.38542922494584	-8.63676960773445	NA	-1.01120686776808	NA	-3.59412527032596	NA	-10.9586977026218	-4.83768230166045
LLM.2018.07.01	-8.49407776144419	-2.5016114341296	-11.6640027628865	-12.2489652636077	-0.651843834818089	NA	-3.991577420915	-10.6640027628865	-7.60510907383293	-3.11968224666269
LLM.2018.07.17	-9.09832457055218	-2.79860775475498	-9.94632147710713	NA	-0.566943110035868	NA	-2.83362134435777	NA	-9.26824957199449	-4.77639647566482
LLM.2018.07.18	-11.6963880142599	-2.50656345537986	-9.95942242009367	NA	-1.18298938764894	NA	-1.46917320946659	-11.281350514981	-12.281350514981	-5.60892517300954
LLM.2018.07.29	-12.2775780024157	-1.90471294230315	-6.75401604635872	NA	-0.807681853744818	NA	-2.85026515828077	-12.2775780024157	-9.95564990752837	-6.34684066485285
LLM.2018.08.11	-12.2762698309123	-2.40899109120261	-8.4182888357847	NA	-0.756387908414844	NA	-2.42452078949621	-9.69130733019112	-9.57583011277118	-5.1677453741341
LLM.2018.08.25	-9.95099323197964	-2.55353250592492	-9.10299632542469	NA	-0.991570811885967	NA	-1.99041202062617	-7.18545848561666	-9.18545848561666	-3.97371330847972
LLM.2018.08.31	-10.6942127687743	-2.06972190386653	-7.21308607903771	NA	-1.25265182697572	NA	-1.87722914551895	-10.2791752694955	-10.2791752694955	-4.03600128602253
LLM.2018.09.01	-10.2761244052742	-2.28460255919854	-8.32192809488736	NA	-0.891880283031159	NA	-2.2952707988945	-8.69116190455308	-10.1061994038319	-4.47846287942048
LLM.2018.09.18	-10.1091051350073	-2.15749661910962	-8.23463601709119	NA	-0.875751760978596	-11.6940676357285	-2.23668675665596	-11.2790301364496	-13.2790301364496	-6.19156729519931
LLM.2018.09.19	NA	-1.4540395774167	-7.13044367271223	NA	-1.0586036709521	NA	-2.85392603751481	NA	-11.6952282914958	-6.77239615201821
LLM.2018.09.24	-13.279465491794	-1.546450170108	-10.6945029910728	NA	-1.58903093539891	NA	-1.6423878346503	NA	-10.9575373969066	-8.07001212616501
LLM.2018.09.29	-10.1069263854754	-2.63029267676313	-9.81741976828038	-11.6918888861965	-1.04413067895281	-12.2768513869177	-1.55233753379773	NA	-8.75328943086067	-7.01006484622278
LLM.2018.10.03	-10.2739412597768	-1.80125042053407	-7.63008507000212	-11.6889787590557	-1.04873382283335	-12.2739412597768	-2.24258466352114	-10.2739412597768	-9.81450964113955	-6.63008507000212
LLM.2018.10.07	-10.094224338281	-1.05621989421166	-7.13486632277836	-10.4567944176657	-1.35801034352795	-11.2641493397233	-3.30414740765525	-11.2641493397233	-10.4567944176657	-5.83788458502123
LLM.2018.10.17	-10.4638162690822	-2.35828185490981	-7.98576897227752	-11.2711711911398	-0.956871189242239	-13.2711711911398	-1.99330264496293	-9.68620869041862	-10.2711711911398	-4.99040042100917
LLM.2018.11.04	-9.35931031689044	-1.61022305001202	-10.9442728176116	-9.68123841177781	-1.09752879436673	-13.266200912499	-4.23829491592908	-11.266200912499	-11.266200912499	-2.75642590817202
LLM.2018.11.14	-11.2736499239437	-1.73303751569416	-6.26242266852044	-10.9517218290563	-1.06694077458504	-13.2736499239437	-2.32967000959995	-11.2736499239437	-8.46629500188609	-7.46629500188609
LLM.2018.11.24	-9.57946099766167	-2.36103747852817	-9.27990071580276	NA	-0.772601591679996	NA	-2.34621006085053	-11.6949382150816	-8.1506176988578	-5.91357850155695
LLM.2018.12.01	-10.4725457937452	-2.27990071580276	-8.03197320235918	NA	-0.693295455199151	NA	-3.02251287311011	-12.2799007158028	-7.92234871118468	-4.51502912506667
LLM.2018.12.12	-10.9518675043269	-1.5956356416715	-6.53232861281312	NA	-0.786457984007083	NA	-4.31379366714618	NA	-8.36690500360575	-5.33715766021169
LLM.2018.12.25	-8.69508326057923	-2.20189495356573	-5.47269083924278	NA	-0.5574516623438	-9.28004576130038	-4.26323747361383	-13.2800457613004	-7.55212530673719	-5.71019015296944
LLM.2019.01.13	-8.63517394667492	-2.12042044823517	-8.63517394667492	NA	-0.778935186777842	NA	-2.96388057419335	-10.1091051350073	-8.75546818039263	-4.29889055881049
LLM.2019.01.27	-8.63226821549951	-1.82028349614784	-7.12637728576956	NA	-0.88005484763437	NA	-2.80039097430784	-10.9541963103869	-8.1886615640239	-5.93627440238961
LLM.2019.02.10	-8.81567439650881	-1.88870459150533	-7.20901682468834	NA	-0.743480876723487	NA	-3.40937274429435	-10.4677510930885	-7.98970379628386	-5.32673878356143
LLM.2019.02.24	-7.43331089833422	-2.44522421987772	-8.45884599044136	NA	-0.624600696664604	NA	-3.4144518710829	-9.45884599044136	-8.35931031689044	-4.03738222200308
LLM.2019.03.18	-6.61193781456471	-2.10085060152366	-9.4627943752589	NA	-0.81507899002854	NA	-2.47735900301544	-11.6851867965953	-9.36325870170799	-7.51526179515303
LLM.2019.03.31	-8.46483743958703	-1.60197872490607	-8.36530176603612	NA	-0.9960679563704	NA	-2.76936055757789	NA	-6.55794684397851	-7.36530176603612
LLM.2019.04.14	-6.839643254529	-1.69890263898407	-7.8064763905938	NA	-0.888697478842549	NA	-3.29006004122432	-10.4585530871735	-7.2659080092311	-5.09598300778879
LLM.2019.04.28	-6.94456566142482	-2.17241607064028	-9.09656875486987	NA	-0.891454324965259	NA	-2.48349554739177	-11.681531255591	-7.62263756653746	-4.47533086775717
LLM.2019.05.12	-7.4390106582268	-2.74442366633115	-10.4645457503339	NA	-0.803785786013445	NA	-1.96811992421444	-10.6869381716704	-8.81246905375425	-6.26067341696829
LLM.2019.05.19	-7.77902619899911	-2.35350721585194	-6.51599179316532	NA	-0.832867207677653	-12.2708792953288	-2.42617353091685	-13.2708792953288	-8.22648517597033	-4.72784747507355
LLM.2019.06.02	-7.33561000427301	-2.37988864613219	-7.74278538577888	NA	-0.626102405613548	NA	-3.25232687152096	NA	-7.98094512297364	-4.63699072175628
LLM.2019.06.16	-7.88176948285565	-2.20598042977564	-7.60166156366292	NA	-0.764806737546555	NA	-2.56155990519459	NA	-7.98868468677217	-6.37926914232647
LLM.2019.06.23	-7.12506779494615	-2.4261919740215	-10.9528868195635	NA	-0.988257152842879	NA	-1.79553988420063	-11.6898524137297	-7.95288681956347	-6.67490207226371
LLM.2019.07.14	-9.2733585292667	-2.8077921244573	-9.46600360720909	NA	-0.811623307661836	NA	-1.86502878849931	-10.9514304343793	-8.51847102710323	-7.22896440990825
LLM.2019.07.28	-8.17859162704803	-2.81587422113362	-11.2660544682984	NA	-0.781231574036224	-13.2660544682984	-2.22713547900607	-9.80662284966107	-9.26605446829837	-4.16276665988635
LLM.2019.08.11	-7.75459707538023	-2.38713484128774	-8.27815903143724	NA	-0.843791429768324	NA	-2.17421560154568	-11.6931965307161	-7.42017803630967	-5.95623093654988
