,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52
LLM.2012.11.06,0.0,0.0,30.64,6.31,14.17,5.67,3.2,0.08,0.02,3.48,5.4,5.68,1.09,2.49,0.3,3.4,1.44,0.0,2.24,0.8,0.35,0.0,3.71,0.27,0.82,0.67,1.02,0.01,0.02,0.0,0.18,0.23,0.0,0.06,0.05,0.03,1.99,0.39,0.01,0.44,0.22,0.03,0.0,0.05,0.01,0.1,0.41,0.32,0.03,0.0,0.04,0.53
LLM.2014.05.04,0.0,0.0,23.44,10.55,14.84,3.89,1.81,1.47,1.11,8.21,3.41,4.0,1.17,1.04,0.68,0.4,5.5,0.01,2.17,1.1,0.65,0.0,1.31,3.21,0.01,1.61,0.51,0.0,0.3,0.2,0.68,1.02,0.0,0.43,0.66,0.0,0.01,0.64,0.08,0.53,0.07,0.29,0.0,0.23,0.12,0.15,0.25,0.19,0.01,0.06,0.05,0.0
LLM.2014.08.25,0.0,0.46,2.89,19.52,11.15,9.7,4.76,1.43,1.2,8.71,10.24,5.95,2.34,2.02,0.45,0.5,3.42,0.0,2.89,0.72,0.34,0.0,0.37,0.61,0.2,1.05,0.6,0.01,0.26,0.05,0.75,1.47,0.0,0.41,0.19,0.02,0.06,0.32,0.08,0.11,0.26,0.37,0.0,0.24,0.17,0.1,0.92,0.06,0.0,0.0,0.08,0.0
LLM.2015.01.25,1.29,0.0,0.09,10.43,16.56,24.16,4.27,4.96,1.07,7.55,4.93,4.81,1.73,0.88,0.81,0.3,2.33,0.03,1.75,0.93,0.59,0.0,2.04,0.32,0.07,0.72,0.65,0.0,0.36,0.08,1.36,0.43,0.0,0.37,0.36,0.31,0.03,0.71,0.01,0.51,0.19,0.42,0.0,0.14,0.02,0.21,0.2,0.01,0.0,0.0,0.04,0.0
LLM.2015.02.08,3.35,0.0,0.14,11.6,15.04,5.51,5.4,2.7,2.22,5.95,8.96,12.01,1.26,0.85,1.26,0.2,2.89,0.49,2.53,3.71,0.32,0.0,2.45,0.52,0.0,0.44,3.51,0.01,0.39,0.04,0.8,0.3,0.0,0.47,0.61,0.3,0.03,0.83,0.0,0.72,0.2,0.15,0.0,0.09,0.01,0.11,0.12,0.04,0.12,0.01,0.06,0.0
LLM.2015.02.23,7.52,0.02,0.13,9.79,9.2,0.59,6.39,5.43,2.86,3.11,12.38,13.26,2.17,2.43,0.61,0.2,2.58,1.0,5.02,3.36,0.61,0.0,0.39,0.37,0.0,1.6,2.47,0.0,0.48,0.0,0.47,0.62,0.0,0.83,0.28,0.23,0.01,0.6,0.01,0.59,0.46,0.17,0.0,0.02,0.01,0.07,0.24,0.12,0.01,0.01,0.04,0.0
LLM.2015.03.08,9.55,0.01,0.02,18.32,9.57,3.93,5.79,1.44,1.49,5.23,15.6,4.26,0.67,0.53,0.51,0.43,2.07,0.27,5.58,1.59,0.16,0.0,0.84,0.13,0.62,3.02,1.17,0.0,0.12,0.01,1.0,0.64,0.0,0.77,0.49,0.01,0.02,0.2,0.0,0.5,0.09,0.06,0.0,0.18,0.03,0.16,0.22,0.19,0.04,0.0,0.21,0.0
LLM.2015.03.24,0.65,0.01,1.22,11.58,14.48,13.68,6.26,4.52,4.18,5.69,7.03,5.0,1.69,1.5,1.32,0.36,2.43,0.15,3.51,0.58,0.68,0.0,0.26,2.29,0.2,1.25,0.47,0.03,0.24,0.32,0.88,0.97,0.0,0.4,0.51,0.14,0.02,0.38,0.07,0.61,0.42,0.28,0.02,0.29,0.37,0.28,0.18,0.07,0.0,0.07,0.02,0.0
LLM.2015.04.04,2.52,0.01,0.11,7.28,8.87,1.21,9.47,5.08,2.1,2.36,17.08,10.94,2.27,3.04,0.48,0.3,2.32,1.24,6.98,2.5,0.64,0.0,0.06,0.52,0.32,2.74,0.65,0.01,0.54,0.0,0.51,1.01,0.0,0.57,0.44,0.33,0.03,0.53,0.01,0.52,0.51,0.24,0.0,0.04,0.02,0.17,0.58,0.06,0.02,0.0,0.02,0.0
LLM.2015.04.19,6.97,0.0,0.6,10.85,14.97,20.01,3.36,5.59,1.11,5.33,4.92,4.16,0.84,0.52,1.88,0.21,2.84,0.72,2.0,0.59,0.24,0.0,0.34,2.64,0.08,0.63,0.18,0.03,0.51,1.25,0.87,0.72,0.0,0.24,0.57,0.18,0.01,0.38,0.05,0.36,0.14,0.23,0.02,0.24,0.39,0.19,0.13,0.05,0.01,0.18,0.01,0.0
LLM.2015.05.03,2.46,0.02,0.57,11.36,10.38,3.88,7.5,4.33,1.81,3.69,9.42,13.34,2.7,3.58,0.37,0.2,1.31,1.53,5.7,1.32,0.62,0.0,0.04,1.81,0.0,2.28,0.3,0.02,2.07,0.1,0.59,0.84,0.0,0.62,0.38,0.12,0.04,0.51,0.06,0.89,0.29,0.13,0.01,0.03,0.14,0.11,0.46,0.26,0.01,0.0,0.02,0.0
LLM.2015.05.31,8.32,0.01,0.22,13.64,15.2,8.67,4.85,7.0,1.38,4.09,9.05,5.04,2.96,1.11,0.81,0.14,1.76,0.58,2.72,1.32,0.43,0.0,0.28,0.36,0.51,0.67,0.75,0.01,0.12,0.07,0.93,1.76,0.0,0.74,0.45,0.01,0.04,0.74,0.0,0.44,0.14,0.13,0.03,0.05,0.07,0.11,0.13,0.21,0.01,0.0,0.02,0.0
LLM.2015.06.14,1.06,0.0,1.36,15.43,13.52,9.51,7.23,4.52,2.69,3.09,5.86,8.39,0.38,2.01,0.77,0.5,1.68,0.29,4.48,0.41,0.66,0.0,0.15,4.18,0.0,1.89,0.13,0.07,0.1,0.26,0.83,0.72,0.0,0.38,0.69,0.06,0.03,0.46,0.15,0.96,0.32,0.48,0.09,0.05,0.77,0.33,0.35,0.02,0.0,0.07,0.13,0.0
LLM.2015.07.12,5.02,0.0,2.05,25.54,4.22,4.03,5.09,1.96,5.79,5.53,12.9,4.3,1.56,0.79,0.04,0.0,2.95,1.13,2.65,3.43,0.24,0.0,0.14,0.22,1.04,0.5,0.18,0.0,0.46,0.53,1.11,0.89,0.0,1.34,0.45,0.02,0.01,0.52,0.0,0.1,0.21,0.0,0.0,0.0,0.62,0.08,0.07,0.17,0.03,0.12,0.03,0.01
LLM.2015.07.26,6.24,0.02,0.16,11.07,12.19,4.93,8.11,7.35,0.27,5.36,11.97,6.27,0.95,1.43,0.67,0.2,3.04,1.28,3.76,1.14,0.51,0.0,0.23,0.32,1.4,1.31,1.41,0.01,1.22,0.18,0.5,0.87,0.0,0.47,0.43,0.13,0.06,0.81,0.01,0.8,0.27,0.47,0.02,0.04,0.07,0.1,0.25,0.04,0.01,0.01,0.04,0.0
LLM.2015.08.23,1.29,0.11,8.95,14.33,15.16,3.08,5.52,7.25,0.24,6.95,4.22,6.61,3.11,2.26,0.36,0.0,2.98,0.94,4.16,2.76,0.71,0.0,0.14,0.47,0.59,0.78,0.34,0.02,0.56,0.0,1.17,0.79,0.0,0.32,0.15,0.33,0.09,1.38,0.0,0.16,0.15,0.47,0.0,0.05,0.0,0.02,0.15,0.07,0.02,0.0,0.0,0.0
LLM.2015.09.06,3.16,0.0,3.5,30.49,8.53,3.38,4.34,2.05,1.42,5.43,2.4,7.61,1.57,1.64,0.15,0.0,4.66,0.84,1.3,2.21,0.52,0.0,0.03,3.94,0.45,0.38,0.21,0.02,0.22,1.31,0.55,0.97,0.0,0.65,1.0,0.13,0.04,0.68,0.02,0.29,0.13,0.13,0.07,0.07,1.31,0.13,0.1,0.14,0.0,0.11,0.0,0.0
LLM.2015.10.11,0.68,0.04,0.18,15.2,7.5,2.85,5.23,10.49,5.23,6.05,5.47,8.12,3.69,1.17,0.04,0.0,5.66,1.32,3.56,5.88,0.35,0.0,2.16,0.89,1.54,0.33,1.32,0.0,0.11,0.0,0.35,0.24,0.0,0.45,0.14,0.95,0.06,1.27,0.0,0.06,0.4,0.46,0.0,0.0,0.0,0.1,0.03,0.04,0.04,0.0,0.0,0.0
LLM.2015.11.08,0.17,7.19,0.19,18.81,9.04,0.17,5.59,3.91,1.57,6.88,3.75,8.08,2.63,1.74,0.07,0.0,8.79,0.65,2.32,8.42,0.49,0.0,0.06,0.45,1.17,0.68,0.93,0.0,0.49,0.02,0.52,0.7,0.0,0.65,0.13,0.79,0.09,1.1,0.0,0.12,0.28,0.45,0.0,0.0,0.0,0.0,0.07,0.06,0.02,0.0,0.0,0.01
LLM.2015.11.22,8.08,0.02,0.3,11.47,14.11,1.24,8.31,7.54,0.11,5.61,4.56,8.31,3.2,2.9,0.33,0.0,3.99,2.03,3.27,0.93,0.98,0.0,0.53,0.87,1.49,1.5,1.0,0.0,0.31,0.02,0.45,1.0,0.0,0.29,0.15,0.07,0.01,0.83,0.0,0.29,0.36,1.5,0.0,0.0,0.03,0.24,0.09,0.06,0.0,0.0,0.03,0.0
LLM.2015.12.27,1.27,0.0,0.35,10.16,17.3,2.99,8.29,10.95,0.1,6.48,3.2,8.43,2.23,2.24,0.55,0.0,3.13,0.34,8.4,0.42,0.99,0.0,0.66,2.26,1.89,0.74,0.14,0.0,0.16,0.19,0.52,0.82,0.0,0.63,0.29,0.2,0.04,0.92,0.02,0.4,0.3,0.29,0.0,0.09,0.13,0.13,0.04,0.0,0.0,0.0,0.13,0.0
LLM.2016.01.10,1.46,0.03,4.59,40.7,7.58,6.22,3.3,1.66,0.74,2.55,0.98,7.51,0.26,0.58,0.23,0.0,6.29,0.13,1.11,0.2,0.31,0.0,0.31,4.47,0.08,0.24,0.06,0.02,0.06,1.71,1.17,0.53,0.0,0.39,0.56,0.05,0.0,0.59,0.08,0.28,0.06,0.59,0.04,0.07,0.69,0.13,0.02,0.0,0.02,0.12,0.03,0.0
LLM.2016.01.24,1.77,0.0,0.79,16.51,9.54,4.69,5.74,8.48,1.2,3.02,7.29,12.02,1.04,4.12,0.15,0.02,1.98,0.64,3.3,1.78,0.84,0.0,0.9,1.81,2.67,0.93,0.49,0.0,0.05,2.82,0.27,0.64,0.0,0.1,0.24,0.02,0.08,0.49,0.0,0.35,0.2,0.46,0.0,0.23,0.55,0.24,0.17,0.02,0.14,0.06,0.07,0.0
LLM.2016.02.07,10.37,0.03,1.04,12.66,14.64,2.84,4.06,15.85,0.46,3.45,2.99,10.07,0.56,2.25,0.34,0.0,2.05,0.81,2.38,1.49,1.14,0.0,0.89,3.25,0.2,1.18,0.51,0.0,0.02,0.3,0.28,0.37,0.0,0.08,0.05,0.1,0.01,0.32,0.03,0.26,0.2,0.51,0.0,0.03,0.22,0.12,0.21,0.03,0.02,0.03,0.07,0.0
LLM.2016.02.28,0.3,0.48,0.62,11.85,16.34,3.36,9.76,10.45,1.37,1.67,6.24,9.03,2.4,4.93,0.13,0.0,1.0,0.66,5.3,0.88,1.01,0.0,0.82,2.9,1.37,0.98,0.41,0.0,0.0,0.48,0.19,0.44,0.0,0.25,0.08,0.04,0.14,0.39,0.09,0.15,0.61,0.66,0.02,0.1,0.06,0.17,0.26,0.04,0.09,0.03,0.11,0.0
LLM.2016.03.13,6.31,0.09,0.86,8.89,16.44,4.97,12.06,11.82,0.08,2.91,4.71,9.64,0.65,3.36,0.4,0.0,0.91,0.46,3.26,0.26,1.16,0.0,1.55,0.47,2.35,1.11,0.8,0.0,0.09,0.15,0.15,0.27,0.0,0.1,0.0,0.2,0.04,0.4,0.0,0.11,0.34,1.16,0.0,0.02,0.12,0.21,0.15,0.02,0.0,0.0,0.06,0.0
LLM.2016.03.27,8.82,0.0,0.58,10.12,10.77,4.64,8.05,18.55,0.12,2.73,5.18,9.9,1.28,1.8,0.25,0.0,1.24,0.34,3.36,1.63,0.43,0.0,1.54,0.52,1.18,0.84,1.17,0.0,0.14,0.04,0.2,0.08,0.0,0.04,0.07,0.07,0.1,0.55,0.0,0.17,0.24,1.73,0.0,0.03,0.02,0.17,0.1,0.0,0.04,0.0,0.02,0.0
LLM.2016.04.24,4.72,0.06,0.34,12.48,7.23,1.46,11.73,19.4,2.16,2.25,6.59,8.73,2.54,1.8,0.11,0.0,1.41,0.76,2.76,2.13,0.16,0.0,1.25,0.83,2.47,0.27,2.14,0.0,0.0,0.05,0.3,0.49,0.01,0.19,0.09,0.09,0.0,0.61,0.0,0.22,0.64,0.35,0.0,0.03,0.0,0.16,0.07,0.02,0.1,0.0,0.0,0.41
LLM.2016.05.08,0.76,0.0,11.59,10.88,9.14,13.71,9.59,11.88,0.54,2.87,3.06,8.33,0.95,2.9,0.4,0.0,1.53,0.22,1.98,0.86,0.67,0.0,0.24,0.79,0.82,0.88,0.37,0.0,0.04,0.03,0.38,1.05,0.0,0.13,0.1,0.02,0.03,0.47,0.0,0.25,0.15,1.25,0.0,0.05,0.04,0.21,0.06,0.02,0.0,0.05,0.03,0.0
LLM.2016.05.22,0.43,0.0,6.57,22.07,5.98,24.53,3.28,2.25,1.3,5.15,0.83,3.99,0.48,0.12,0.69,0.0,4.24,0.09,0.47,0.07,0.22,0.0,0.29,1.0,0.0,0.0,0.09,0.0,0.07,1.54,0.83,1.12,0.0,0.07,2.37,0.0,0.0,0.28,0.0,1.82,0.0,0.21,0.31,1.37,1.26,1.18,0.0,0.0,0.0,0.12,0.0,0.0
LLM.2016.06.05,0.0,0.03,9.48,18.98,15.67,3.22,7.85,11.54,0.17,3.28,4.11,6.2,1.17,1.94,0.43,0.0,2.63,0.13,2.41,0.25,0.9,0.0,0.65,0.61,0.71,2.09,0.24,0.0,0.18,0.03,0.18,0.61,0.0,0.23,0.15,0.05,0.0,0.62,0.0,0.29,0.62,0.88,0.0,0.03,0.09,0.09,0.19,0.11,0.0,0.0,0.0,0.0
LLM.2016.06.19,0.0,0.0,24.77,7.51,10.27,13.39,12.24,8.5,0.08,1.59,3.23,4.66,1.36,0.77,0.4,0.0,1.03,0.05,2.46,0.17,0.54,0.0,0.43,1.01,0.42,0.8,0.18,0.0,0.0,0.08,0.29,0.54,0.0,0.11,0.25,0.1,0.1,0.5,0.0,0.24,0.27,0.51,0.03,0.08,0.05,0.12,0.14,0.01,0.0,0.02,0.06,0.0
LLM.2016.07.03,0.16,0.0,13.5,30.11,10.35,0.46,2.33,1.35,2.08,5.56,1.57,9.93,1.05,1.75,0.3,0.0,1.73,0.46,2.98,0.34,0.54,0.0,0.11,4.04,0.38,0.36,0.13,0.0,0.0,1.48,1.3,1.01,0.0,0.21,0.41,0.0,0.02,0.42,0.07,0.32,0.13,0.3,0.0,0.02,0.54,0.19,0.1,0.11,0.0,0.11,0.1,0.0
LLM.2016.07.19,0.0,0.0,21.23,5.42,13.7,1.56,7.11,7.7,0.06,1.36,4.86,12.64,1.35,4.21,0.17,0.0,0.51,0.12,5.1,0.55,1.82,0.0,0.91,1.08,1.17,2.43,0.21,0.0,0.0,0.09,0.25,0.38,0.0,0.13,0.16,0.03,0.03,0.72,0.0,0.3,0.64,0.17,0.0,0.1,0.07,0.19,0.08,0.02,0.02,0.02,0.08,0.0
LLM.2016.07.31,0.0,0.0,10.28,17.87,14.3,0.11,6.48,1.77,2.99,2.72,6.56,10.02,2.67,3.55,0.04,0.0,3.36,1.27,1.43,2.47,0.74,0.0,0.84,0.43,3.01,1.16,1.78,0.0,0.0,0.06,0.31,0.36,0.0,0.14,0.1,0.08,0.12,0.29,0.0,0.2,0.23,0.28,0.0,0.0,0.04,0.06,0.08,0.02,0.45,0.0,0.0,0.0
LLM.2016.08.14,0.39,0.0,22.45,16.05,10.77,5.21,10.25,3.78,0.03,1.35,1.38,7.48,0.54,1.53,0.2,0.0,1.89,0.03,1.78,0.25,0.54,0.0,0.07,5.18,0.33,0.76,0.04,0.0,0.0,0.72,0.49,0.62,0.0,0.17,0.59,0.04,0.05,0.57,0.09,0.3,0.09,0.57,0.0,0.07,0.63,0.08,0.32,0.0,0.0,0.25,0.05,0.0
